date,charged,drained,max,min
2026-01-01,37,21,58,28
2026-01-02,42,51,84,37
2026-01-03,27,54,60,10
2026-01-04,33,38,39,5
2026-01-05,48,32,42,5
2026-01-06,39,31,50,21
2026-01-07,12,37,40,5
2026-01-08,21,21,26,5
2026-01-09,21,21,26,5
2026-01-10,27,26,32,5
2026-01-11,27,26,29,5
2026-01-12,51,47,58,7
2026-01-13,36,37,47,10
2026-01-14,43,39,50,9
2026-01-15,62,61,76,14
2026-01-16,29,37,42,5
2026-01-17,26,24,33,7
2026-01-18,38,28,43,7
2026-01-19,48,44,63,19
2026-01-20,35,30,54,24
2026-01-21,47,55,71,16
2026-01-22,47,54,64,14
2026-01-23,20,29,30,5
2026-01-24,26,26,31,5
2026-01-25,37,33,42,5
2026-01-26,2,65,81,9
2026-01-27,25,31,41,5
2026-01-28,30,30,35,5
2026-01-29,49,29,41,5
2026-01-30,37,57,60,5
2026-01-31,35,29,37,5
