date,charged,drained,max,min
2024-03-01,55,51,,
2024-03-02,44,35,,
2024-03-03,49,59,,
2024-03-04,52,22,,
2024-03-05,40,59,,
2024-03-06,49,40,,
2024-03-07,43,51,,
2024-03-08,56,50,,
2024-03-09,42,57,,
2024-03-10,39,38,,
2024-03-11,53,28,,
2024-03-12,52,70,,
2024-03-13,63,57,,
2024-03-14,55,55,,
2024-03-15,53,44,,
2024-03-16,51,56,,
2024-03-17,39,53,,
2024-03-18,56,48,,
2024-03-19,67,60,,
2024-03-20,18,48,,
2024-03-21,43,43,,
2024-03-22,45,32,,
2024-03-23,44,41,,
2024-03-24,48,57,,
2024-03-25,61,50,,
2024-03-26,38,57,,
2024-03-27,40,39,,
2024-03-28,62,33,,
2024-03-29,50,73,,
2024-03-30,56,46,,
2024-03-31,42,65,,
