date,charged,drained,max,min
2024-07-01,50,21,48,5
2024-07-02,68,56,100,34
2024-07-03,51,50,89,43
2024-07-04,44,55,88,36
2024-07-05,51,65,83,22
2024-07-06,60,45,81,21
2024-07-07,45,31,81,25
2024-07-08,47,37,68,25
2024-07-09,58,71,93,22
2024-07-10,38,39,59,21
2024-07-11,51,58,72,14
2024-07-12,53,43,58,13
2024-07-13,64,57,78,21
2024-07-14,28,56,61,5
2024-07-15,40,21,42,5
2024-07-16,64,60,88,24
2024-07-17,54,66,82,16
2024-07-18,31,42,47,5
2024-07-19,75,52,70,5
2024-07-20,56,65,84,19
2024-07-21,42,51,60,10
2024-07-22,46,33,55,9
2024-07-23,59,60,79,21
2024-07-24,57,45,72,21
2024-07-25,59,64,86,28
2024-07-26,50,60,78,18
2024-07-27,36,18,53,17
2024-07-28,63,83,99,16
2024-07-29,72,42,77,15
2024-07-30,63,75,98,32
2024-07-31,67,54,93,33
