date,charged,drained,max,min
2024-05-01,66,37,,
2024-05-02,61,65,,
2024-05-03,47,66,,
2024-05-04,60,43,,
2024-05-05,59,57,,
2024-05-06,47,63,,
2024-05-07,66,61,,
2024-05-08,69,55,,
2024-05-09,51,78,,
2024-05-10,69,45,,
2024-05-11,43,74,,
2024-05-12,73,41,,
2024-05-13,49,51,,
2024-05-14,46,62,,
2024-05-15,57,51,,
2024-05-16,54,53,,
2024-05-17,56,48,,
2024-05-18,63,77,,
2024-05-19,56,63,,
2024-05-20,58,52,,
2024-05-21,69,50,,
2024-05-22,39,80,,
2024-05-23,78,36,,
2024-05-24,59,59,,
2024-05-25,50,74,,
2024-05-26,58,60,,
2024-05-27,74,35,,
2024-05-28,46,63,,
2024-05-29,48,53,,
2024-05-30,52,75,,
2024-05-31,80,33,,
