date,charged,drained,max,min
2024-11-01,61,64,87,24
2024-11-02,53,49,68,21
2024-11-03,68,63,91,27
2024-11-04,52,37,75,31
2024-11-05,52,68,100,32
2024-11-06,51,47,79,32
2024-11-07,69,58,90,36
2024-11-08,40,42,80,45
2024-11-09,49,58,92,34
2024-11-10,44,57,76,23
2024-11-11,34,27,53,23
2024-11-12,66,53,85,30
2024-11-13,34,46,74,28
2024-11-14,36,39,62,28
2024-11-15,55,40,76,26
2024-11-16,51,63,91,31
2024-11-17,30,37,59,24
2024-11-18,50,31,71,24
2024-11-19,31,54,71,20
2024-11-20,20,35,37,5
2024-11-21,20,20,25,5
2024-11-22,25,25,30,5
2024-11-23,22,12,27,5
2024-11-24,26,23,32,6
2024-11-25,27,20,30,8
2024-11-26,53,50,70,17
2024-11-27,33,45,53,8
2024-11-28,38,31,43,6
2024-11-29,40,42,53,13
2024-11-30,36,32,47,11
