date,charged,drained,max,min
2026-03-01,46,28,70,24
2026-03-02,35,42,71,31
2026-03-03,50,58,85,27
2026-03-04,60,51,80,27
2026-03-05,54,67,90,23
2026-03-06,48,42,63,23
2026-03-07,64,48,89,29
2026-03-08,44,45,78,41
2026-03-09,54,68,94,30
2026-03-10,47,62,76,15
2026-03-11,52,37,64,15
2026-03-12,61,65,88,26
2026-03-13,57,57,82,26
2026-03-14,45,38,69,26
2026-03-15,56,50,79,32
2026-03-16,51,47,88,39
2026-03-17,51,69,94,25
2026-03-18,47,54,68,16
2026-03-19,63,57,78,18
2026-03-20,55,58,79,21
2026-03-21,47,47,66,19
2026-03-22,49,42,67,20
2026-03-23,44,45,72,27
2026-03-24,44,49,70,22
2026-03-25,37,45,58,14
2026-03-26,44,25,50,14
2026-03-27,47,40,72,33
2026-03-28,43,54,80,27
2026-03-29,45,44,72,27
2026-03-30,45,34,67,24
2026-03-31,45,53,84,32
