date,charged,drained,max,min
2024-04-01,50,28,,
2024-04-02,65,71,,
2024-04-03,53,57,,
2024-04-04,60,61,,
2024-04-05,72,61,,
2024-04-06,41,61,,
2024-04-07,54,20,,
2024-04-08,46,60,,
2024-04-09,53,62,,
2024-04-10,72,54,,
2024-04-11,46,68,,
2024-04-12,45,32,,
2024-04-13,56,68,,
2024-04-14,60,47,,
2024-04-15,67,62,,
2024-04-16,54,67,,
2024-04-17,62,44,,
2024-04-18,51,71,,
2024-04-19,68,61,,
2024-04-20,61,54,,
2024-04-21,41,75,,
2024-04-22,63,31,,
2024-04-23,52,54,,
2024-04-24,60,56,,
2024-04-25,58,57,,
2024-04-26,53,61,,
2024-04-27,60,56,,
2024-04-28,56,61,,
2024-04-29,68,56,,
2024-04-30,48,66,,
