date,charged,drained,max,min
2025-01-01,25,31,40,15
2025-01-02,22,34,33,7
2025-01-03,45,29,49,6
2025-01-04,59,33,72,22
2025-01-05,38,56,79,31
2025-01-06,35,44,65,22
2025-01-07,28,30,46,20
2025-01-08,27,35,45,12
2025-01-09,38,32,49,11
2025-01-10,30,32,46,16
2025-01-11,30,29,45,15
2025-01-12,31,29,41,15
2025-01-13,43,57,61,5
2025-01-14,33,31,38,5
2025-01-15,51,34,47,7
2025-01-16,34,39,58,19
2025-01-17,54,28,55,19
2025-01-18,36,47,78,34
2025-01-19,52,41,74,30
2025-01-20,49,41,85,45
2025-01-21,35,52,81,36
2025-01-22,32,43,64,25
2025-01-23,34,40,56,19
2025-01-24,47,42,62,18
2025-01-25,53,43,74,22
2025-01-26,28,35,55,26
2025-01-27,42,27,54,27
2025-01-28,37,58,78,21
2025-01-29,29,27,42,18
2025-01-30,46,52,66,14
2025-01-31,26,31,43,12
