date,charged,drained,max,min
2024-08-01,55,80,100,22
2024-08-02,58,41,73,20
2024-08-03,62,83,100,18
2024-08-04,64,43,71,15
2024-08-05,50,60,83,26
2024-08-06,55,54,84,29
2024-08-07,45,61,75,14
2024-08-08,55,50,66,13
2024-08-09,52,46,69,17
2024-08-10,61,61,82,22
2024-08-11,51,60,75,15
2024-08-12,47,45,59,14
2024-08-13,62,61,77,15
2024-08-14,53,41,66,17
2024-08-15,56,68,84,18
2024-08-16,48,43,64,16
2024-08-17,50,68,73,5
2024-08-18,30,13,33,5
2024-08-19,61,66,83,17
2024-08-20,67,61,81,16
2024-08-21,58,54,73,21
2024-08-22,69,63,90,26
2024-08-23,66,71,99,28
2024-08-24,86,67,99,28
2024-08-25,28,69,76,7
2024-08-26,68,32,69,6
2024-08-27,57,74,99,26
2024-08-28,70,50,90,26
2024-08-29,54,67,100,33
2024-08-30,70,56,100,32
2024-08-31,55,63,100,39
