date,charged,drained,max,min
2024-10-01,50,67,92,25
2024-10-02,61,36,75,23
2024-10-03,56,70,100,35
2024-10-04,62,28,89,35
2024-10-05,53,64,92,30
2024-10-06,66,71,90,25
2024-10-07,57,40,75,23
2024-10-08,40,65,79,17
2024-10-09,63,29,71,16
2024-10-10,61,73,99,33
2024-10-11,52,36,87,39
2024-10-12,52,71,100,34
2024-10-13,66,66,99,33
2024-10-14,58,55,77,34
2024-10-15,68,90,99,16
2024-10-16,38,19,39,15
2024-10-17,43,46,74,32
2024-10-18,29,38,56,23
2024-10-19,68,43,85,20
2024-10-20,40,38,62,24
2024-10-21,59,47,81,29
2024-10-22,57,68,98,31
2024-10-23,49,61,79,19
2024-10-24,55,47,72,19
2024-10-25,54,46,80,26
2024-10-26,50,56,81,29
2024-10-27,62,54,90,24
2024-10-28,55,47,77,24
2024-10-29,53,55,81,30
2024-10-30,50,42,77,30
2024-10-31,61,72,99,27
