date,charged,drained,max,min
2024-02-01,51,64,,
2024-02-02,56,52,,
2024-02-03,35,58,,
2024-02-04,59,45,,
2024-02-05,63,66,,
2024-02-06,43,54,,
2024-02-07,35,46,,
2024-02-08,29,29,,
2024-02-09,29,29,,
2024-02-10,19,13,,
2024-02-11,37,20,,
2024-02-12,49,44,,
2024-02-13,43,49,,
2024-02-14,36,33,,
2024-02-15,59,47,,
2024-02-16,38,55,,
2024-02-17,45,41,,
2024-02-18,47,50,,
2024-02-19,51,44,,
2024-02-20,46,53,,
2024-02-21,36,47,,
2024-02-22,59,15,,
2024-02-23,31,62,,
2024-02-24,53,37,,
2024-02-25,46,69,,
2024-02-26,56,30,,
2024-02-27,42,58,,
2024-02-28,58,39,,
2024-02-29,42,72,,
