date,charged,drained,max,min
2024-09-01,62,86,100,15
2024-09-02,77,51,87,14
2024-09-03,58,74,99,25
2024-09-04,63,54,87,24
2024-09-05,68,85,98,13
2024-09-06,68,60,83,16
2024-09-07,51,65,71,6
2024-09-08,71,49,81,10
2024-09-09,56,68,87,20
2024-09-10,48,45,61,20
2024-09-11,46,50,64,19
2024-09-12,61,43,75,19
2024-09-13,49,69,85,17
2024-09-14,57,36,69,16
2024-09-15,51,74,87,15
2024-09-16,34,26,37,11
2024-09-17,78,78,100,23
2024-09-18,51,41,64,21
2024-09-19,67,81,100,19
2024-09-20,55,44,73,18
2024-09-21,57,49,73,20
2024-09-22,52,76,81,5
2024-09-23,53,28,57,5
2024-09-24,67,62,95,30
2024-09-25,59,72,94,22
2024-09-26,39,42,58,19
2024-09-27,79,69,98,19
2024-09-28,43,57,68,15
2024-09-29,61,44,72,13
2024-09-30,58,48,84,31
