date,charged,drained,max,min
2024-01-01,40,56,,
2024-01-02,41,32,,
2024-01-03,49,51,,
2024-01-04,43,53,,
2024-01-05,36,40,,
2024-01-06,35,22,,
2024-01-07,49,58,,
2024-01-08,47,39,,
2024-01-09,34,52,,
2024-01-10,55,34,,
2024-01-11,47,49,,
2024-01-12,34,50,,
2024-01-13,51,44,,
2024-01-14,62,58,,
2024-01-15,46,35,,
2024-01-16,54,70,,
2024-01-17,54,27,,
2024-01-18,35,60,,
2024-01-19,56,38,,
2024-01-20,41,57,,
2024-01-21,55,51,,
2024-01-22,77,50,,
2024-01-23,51,65,,
2024-01-24,54,49,,
2024-01-25,60,64,,
2024-01-26,46,46,,
2024-01-27,46,67,,
2024-01-28,55,54,,
2024-01-29,56,44,,
2024-01-30,69,64,,
2024-01-31,52,48,,
