date,charged,drained,max,min
2025-05-01,63,72,90,19
2025-05-02,63,39,79,19
2025-05-03,43,45,84,41
2025-05-04,55,36,89,41
2025-05-05,44,57,100,46
2025-05-06,30,39,73,37
2025-05-07,57,52,72,27
2025-05-08,35,51,79,28
2025-05-09,51,59,78,20
2025-05-10,42,31,54,18
2025-05-11,55,43,77,30
2025-05-12,55,42,86,43
2025-05-13,56,72,100,37
2025-05-14,44,60,84,24
2025-05-15,57,55,74,24
2025-05-16,55,57,74,24
2025-05-17,63,37,79,23
2025-05-18,50,73,90,27
2025-05-19,37,42,59,22
2025-05-20,39,33,59,22
2025-05-21,34,46,62,16
2025-05-22,28,31,44,13
2025-05-23,40,26,53,13
2025-05-24,57,46,82,27
2025-05-25,36,37,66,36
2025-05-26,29,46,65,20
2025-05-27,37,35,55,20
2025-05-28,38,40,55,18
2025-05-29,53,47,71,20
2025-05-30,47,45,73,26
2025-05-31,28,44,53,12
