date,charged,drained,max,min
2026-05-01,54,35,74,25
2026-05-02,56,57,100,43
2026-05-03,60,62,100,41
2026-05-04,52,55,90,35
2026-05-05,47,74,84,11
2026-05-06,46,28,44,10
2026-05-07,62,60,86,30
2026-05-08,74,75,92,20
2026-05-09,67,52,88,30
2026-05-10,43,62,89,28
2026-05-11,54,48,77,28
2026-05-12,60,53,92,34
2026-05-13,54,50,87,37
2026-05-14,67,56,100,45
2026-05-15,55,66,98,39
2026-05-16,62,47,94,45
2026-05-17,38,87,96,11
2026-05-18,57,45,60,10
2026-05-19,64,66,82,19
2026-05-20,51,36,69,21
2026-05-21,48,54,78,30
2026-05-22,67,49,77,30
2026-05-23,56,70,100,34
2026-05-24,30,41,64,23
2026-05-25,70,40,90,22
2026-05-26,48,70,99,31
2026-05-27,54,61,81,24
2026-05-28,42,40,59,21
2026-05-29,63,67,87,22
2026-05-30,59,29,71,22
2026-05-31,33,56,75,29
