date,charged,drained,max,min
2025-02-01,33,25,44,12
2025-02-02,53,35,69,20
2025-02-03,31,40,67,29
2025-02-04,30,40,58,19
2025-02-05,33,28,49,19
2025-02-06,31,40,55,15
2025-02-07,50,29,57,15
2025-02-08,51,51,79,34
2025-02-09,61,53,89,35
2025-02-10,40,40,72,39
2025-02-11,48,61,90,31
2025-02-12,30,46,61,15
2025-02-13,47,38,60,15
2025-02-14,52,36,70,24
2025-02-15,39,48,76,31
2025-02-16,53,36,75,31
2025-02-17,41,52,86,37
2025-02-18,45,49,82,33
2025-02-19,35,41,68,27
2025-02-20,42,47,69,22
2025-02-21,56,32,62,22
2025-02-22,34,45,76,33
2025-02-23,54,42,83,34
2025-02-24,33,49,75,30
2025-02-25,43,46,72,27
2025-02-26,32,37,52,22
2025-02-27,49,47,70,21
<<<<<<< HEAD
2025-02-28,45,34,67,24
=======
2025-02-28,45,9,67,24
>>>>>>> refs/remotes/origin/main
