date,charged,drained,max,min
2025-08-01,50,48,84,23
2025-08-02,42,40,63,21
2025-08-03,66,35,80,25
2025-08-04,49,54,100,48
2025-08-05,36,52,83,35
2025-08-06,48,45,75,35
2025-08-07,51,61,88,28
2025-08-08,55,43,81,28
2025-08-09,44,59,82,25
2025-08-10,48,54,72,19
2025-08-11,64,40,78,16
2025-08-12,66,57,91,34
2025-08-13,52,51,90,44
2025-08-14,43,54,94,42
2025-08-15,42,62,83,22
2025-08-16,50,37,69,21
2025-08-17,62,70,96,27
2025-08-18,57,58,76,24
2025-08-19,48,53,68,21
2025-08-20,53,36,67,20
2025-08-21,62,52,92,38
2025-08-22,48,52,94,42
2025-08-23,58,49,100,44
2025-08-24,37,69,90,21
2025-08-25,69,35,83,21
2025-08-26,45,76,100,24
2025-08-27,40,45,64,19
2025-08-28,61,44,78,17
2025-08-29,58,57,90,35
2025-08-30,58,65,95,30
2025-08-31,58,57,85,29
