date,charged,drained,max,min
2025-11-01,46,23,64,35
2025-11-02,39,59,96,38
2025-11-03,42,45,77,35
2025-11-04,55,47,70,26
2025-11-05,43,57,83,29
2025-11-06,39,43,67,25
2025-11-07,55,35,73,26
2025-11-08,28,43,71,31
2025-11-09,35,30,65,30
2025-11-10,37,40,69,33
2025-11-11,34,49,65,18
2025-11-12,38,43,54,5
2025-11-13,43,29,43,5
2025-11-14,45,36,64,19
2025-11-15,42,48,70,22
2025-11-16,54,34,69,21
2025-11-17,36,39,75,39
2025-11-18,32,48,69,22
2025-11-19,47,34,62,23
2025-11-20,38,48,74,26
2025-11-21,44,39,69,26
2025-11-22,43,44,73,30
2025-11-23,36,24,63,30
2025-11-24,45,43,74,39
2025-11-25,41,55,85,30
2025-11-26,23,34,52,19
2025-11-27,39,36,58,19
2025-11-28,35,25,50,21
2025-11-29,48,43,77,32
2025-11-30,41,47,77,31
