date,charged,drained,max,min
2026-02-01,40,29,48,11
2026-02-02,35,40,56,17
2026-02-03,24,36,39,5
2026-02-04,36,36,41,5
2026-02-05,39,35,44,5
2026-02-06,36,31,44,8
2026-02-07,31,28,43,12
2026-02-08,27,34,44,10
2026-02-09,30,32,39,8
2026-02-10,28,30,36,6
2026-02-11,20,21,26,5
2026-02-12,37,34,42,5
2026-02-13,47,40,55,8
2026-02-14,51,32,66,15
2026-02-15,42,50,70,25
2026-02-16,38,40,63,24
2026-02-17,35,36,57,23
2026-02-18,43,43,64,21
2026-02-19,45,52,68,16
2026-02-20,40,40,47,12
2026-02-21,42,28,55,15
2026-02-22,52,49,82,30
2026-02-23,51,59,82,24
2026-02-24,33,32,58,17
2026-02-25,38,27,49,15
2026-02-26,66,59,80,16
2026-02-27,64,53,80,23
2026-02-28,47,57,81,24
