date,charged,drained,max,min
2025-05-01,63,72,90,19
2025-05-02,63,39,79,19
2025-05-03,43,45,84,41
2025-05-04,55,36,89,41
2025-05-05,44,57,100,46
2025-05-06,30,39,73,37
2025-05-07,57,52,72,27
2025-05-08,35,51,79,28
2025-05-09,51,59,78,20
2025-05-10,42,31,54,18
2025-05-11,55,43,77,30
2025-05-12,55,42,86,43
2025-05-13,56,72,100,37
2025-05-14,44,60,84,24
2025-05-15,57,55,74,24
2025-05-16,55,57,74,24
2025-05-17,63,37,79,23
2025-05-18,50,73,90,27
2025-05-19,37,42,59,22
2025-05-20,39,33,59,22
2025-05-21,34,46,62,16
2025-05-22,28,31,44,13
2025-05-23,40,26,53,13
2025-05-24,57,46,82,27
2025-05-25,36,37,66,36
2025-05-26,29,46,65,20
2025-05-27,37,35,55,20
2025-05-28,38,40,55,18
2025-05-29,53,47,71,20
2025-05-30,47,45,73,26
2025-05-31,28,44,53,12
2025-06-01,57,39,60,8
2025-06-02,52,46,72,30
2025-06-03,47,53,80,27
2025-06-04,41,43,65,28
2025-06-05,46,51,74,15
2025-06-06,42,36,51,15
2025-06-07,55,43,70,21
2025-06-08,63,44,81,32
2025-06-09,51,68,96,30
2025-06-10,78,48,86,35
2025-06-11,49,65,95,38
2025-06-12,57,69,98,29
2025-06-13,76,55,96,37
2025-06-14,41,83,99,16
2025-06-15,76,54,91,15
2025-06-16,58,42,76,36
2025-06-17,67,67,100,38
2025-06-18,63,64,95,33
2025-06-19,47,64,100,36
2025-06-20,50,39,69,33
2025-06-21,68,62,100,43
2025-06-22,46,68,99,31
2025-06-23,31,48,62,14
2025-06-24,74,27,66,14
2025-06-25,39,76,100,24
2025-06-26,51,51,69,18
2025-06-27,51,37,62,24
2025-06-28,64,84,100,16
2025-06-29,71,43,73,18
2025-06-30,61,54,100,46
