date,charged,drained,max,min
2025-10-01,45,30,67,28
2025-10-02,38,33,69,42
2025-10-03,46,56,85,36
2025-10-04,43,62,80,19
2025-10-05,50,46,68,18
2025-10-06,47,45,66,22
2025-10-07,58,37,76,25
2025-10-08,46,57,85,33
2025-10-09,38,54,69,15
2025-10-10,65,42,81,20
2025-10-11,46,43,83,41
2025-10-12,50,74,96,22
2025-10-13,47,27,56,21
2025-10-14,56,54,95,41
2025-10-15,35,50,73,29
2025-10-16,58,39,78,29
2025-10-17,39,55,83,31
2025-10-18,62,44,85,32
2025-10-19,36,39,81,47
2025-10-20,39,44,81,42
2025-10-21,34,36,75,27
2025-10-22,37,47,64,17
2025-10-23,56,32,70,14
2025-10-24,41,39,72,39
2025-10-25,38,44,80,36
2025-10-26,47,43,75,34
2025-10-27,39,43,75,34
2025-10-28,45,60,77,19
2025-10-29,51,29,63,21
2025-10-30,47,39,82,43
2025-10-31,40,56,88,32
