date,charged,drained,max,min
2025-12-01,30,40,56,21
2025-12-02,40,44,58,17
2025-12-03,39,27,52,14
2025-12-04,32,37,50,14
2025-12-05,47,38,61,14
2025-12-06,46,42,67,21
2025-12-07,29,31,50,21
2025-12-08,53,45,78,25
2025-12-09,26,35,58,24
2025-12-10,36,38,56,18
2025-12-11,51,40,69,22
2025-12-12,40,51,70,22
2025-12-13,42,44,62,19
2025-12-14,56,38,70,18
2025-12-15,35,48,68,25
2025-12-16,44,49,66,20
2025-12-17,51,46,65,20
2025-12-18,58,46,83,25
2025-12-19,32,48,68,21
2025-12-20,48,28,66,18
2025-12-21,42,40,63,23
2025-12-22,59,36,76,27
2025-12-23,28,39,76,39
2025-12-24,45,64,83,20
2025-12-25,16,31,22,5
2025-12-26,32,18,30,5
2025-12-27,58,44,75,19
2025-12-28,58,50,89,31
2025-12-29,31,36,67,36
2025-12-30,46,39,82,29
2025-12-31,26,25,49,23
