date,charged,drained,max,min
2024-06-01,46,71,100,29
2024-06-02,51,56,87,37
2024-06-03,46,45,75,36
2024-06-04,60,72,98,26
2024-06-05,55,37,76,26
2024-06-06,58,76,100,26
2024-06-07,78,50,80,26
2024-06-08,62,71,100,29
2024-06-09,40,79,85,6
2024-06-10,57,13,52,5
2024-06-11,59,58,100,48
2024-06-12,57,57,100,49
2024-06-13,55,69,100,34
2024-06-14,65,61,89,30
2024-06-15,61,57,83,26
2024-06-16,31,71,72,5
2024-06-17,52,20,49,5
2024-06-18,50,60,87,27
2024-06-19,60,45,83,27
2024-06-20,61,81,100,22
2024-06-21,50,49,69,20
2024-06-22,76,62,99,23
2024-06-23,48,73,84,12
2024-06-24,53,41,60,12
2024-06-25,54,48,75,23
2024-06-26,57,62,84,25
2024-06-27,60,37,76,25
2024-06-28,55,75,100,25
2024-06-29,74,65,87,22
2024-06-30,41,73,78,5
