date,charged,drained,max,min
2026-04-01,52,42,80,30
2026-04-02,49,54,80,35
2026-04-03,55,49,82,34
2026-04-04,44,59,86,28
2026-04-05,45,36,69,26
2026-04-06,54,59,86,32
2026-04-07,49,49,76,30
2026-04-08,51,49,71,28
2026-04-09,57,55,87,34
2026-04-10,48,45,81,36
2026-04-11,55,49,89,36
2026-04-12,51,50,90,43
2026-04-13,56,54,99,45
2026-04-14,58,57,99,48
2026-04-15,45,68,87,22
2026-04-16,64,40,78,26
2026-04-17,53,71,100,31
2026-04-18,62,41,85,32
2026-04-19,47,62,100,38
2026-04-20,48,49,81,37
2026-04-21,66,60,99,37
2026-04-22,55,56,93,37
2026-04-23,73,63,98,39
2026-04-24,48,67,100,33
2026-04-25,42,49,64,24
2026-04-26,77,56,100,25
2026-04-27,34,52,75,25
2026-04-28,59,49,84,28
2026-04-29,60,47,88,37
2026-04-30,49,75,100,25
