date,charged,drained,max,min
2026-06-01,50,54,78,25
2026-06-02,62,58,83,25
2026-06-03,49,47,76,29
2026-06-04,42,48,73,25
2026-06-05,67,61,89,25
2026-06-06,64,61,93,29
2026-06-07,48,54,77,28
2026-06-08,55,51,78,27
2026-06-09,40,45,70,27
2026-06-10,58,49,78,27
2026-06-11,55,52,87,36
2026-06-12,61,58,92,37
2026-06-13,45,54,80,33
2026-06-14,55,47,78,33
2026-06-15,57,60,87,38
2026-06-16,50,71,83,17
2026-06-17,35,36,44,15
2026-06-18,58,41,68,17
2026-06-19,45,65,78,13
2026-06-20,54,40,63,11
2026-06-21,56,50,83,27
2026-06-22,47,38,72,33
2026-06-23,49,60,88,31
2026-06-24,43,47,67,24
2026-06-25,45,41,65,24
2026-06-26,51,58,78,24
2026-06-27,45,53,67,16
2026-06-28,43,25,55,14
2026-06-29,42,42,68,31
2026-06-30,52,49,84,34
