date,charged,drained,max,min
2025-09-01,52,33,81,31
2025-09-02,59,55,100,49
2025-09-03,44,67,98,31
2025-09-04,61,43,83,31
2025-09-05,46,50,87,43
2025-09-06,57,50,95,43
2025-09-07,51,87,100,16
2025-09-08,74,24,76,16
2025-09-09,36,69,100,31
2025-09-10,43,45,71,29
2025-09-11,61,48,87,31
2025-09-12,56,61,98,39
2025-09-13,57,64,95,32
2025-09-14,41,40,68,31
2025-09-15,51,52,82,30
2025-09-16,59,50,88,31
2025-09-17,30,50,68,21
2025-09-18,60,40,73,20
2025-09-19,41,77,80,5
2025-09-20,48,24,46,5
2025-09-21,47,52,76,24
2025-09-22,33,32,47,15
2025-09-23,45,34,68,25
2025-09-24,38,43,72,29
2025-09-25,43,45,68,27
2025-09-26,46,50,68,22
2025-09-27,43,53,68,15
2025-09-28,54,31,64,14
2025-09-29,39,44,70,31
2025-09-30,39,44,72,28
