date,charged,drained,max,min
2024-12-01,29,28,37,8
2024-12-02,31,21,47,18
2024-12-03,37,46,66,20
2024-12-04,24,35,40,7
2024-12-05,40,38,49,9
2024-12-06,24,18,31,9
2024-12-07,26,29,41,14
2024-12-08,30,29,42,12
2024-12-09,31,23,46,15
2024-12-10,41,42,61,22
2024-12-11,24,38,41,8
2024-12-12,27,28,34,7
2024-12-13,44,37,49,5
2024-12-14,30,30,40,11
2024-12-15,38,27,50,14
2024-12-16,52,26,65,25
2024-12-17,32,46,77,37
2024-12-18,54,46,81,36
2024-12-19,35,47,78,31
2024-12-20,50,40,77,33
2024-12-21,45,51,79,37
2024-12-22,50,45,78,36
2024-12-23,35,38,70,38
2024-12-24,42,46,75,33
2024-12-25,58,39,84,33
2024-12-26,42,55,84,41
2024-12-27,37,32,76,42
2024-12-28,42,60,74,28
2024-12-29,53,50,81,28
2024-12-30,47,33,71,26
2024-12-31,45,65,88,25
