date,charged,drained,max,min
2025-03-01,34,48,65,21
2025-03-02,42,30,63,21
2025-03-03,32,44,60,16
2025-03-04,31,42,49,10
2025-03-05,44,39,54,10
2025-03-06,49,42,64,15
2025-03-07,30,26,44,18
2025-03-08,48,52,74,22
2025-03-09,35,41,54,16
2025-03-10,54,23,53,15
2025-03-11,32,46,75,33
2025-03-12,34,53,61,13
2025-03-13,49,29,58,14
2025-03-14,42,42,73,33
2025-03-15,51,49,76,32
2025-03-16,42,36,73,35
2025-03-17,47,44,82,41
2025-03-18,43,44,78,34
2025-03-19,31,53,74,21
2025-03-20,61,31,62,21
2025-03-21,32,41,79,40
2025-03-22,43,41,76,35
2025-03-23,39,47,83,36
2025-03-24,39,43,70,27
2025-03-25,35,33,64,21
2025-03-26,35,34,54,22
2025-03-27,41,38,59,21
2025-03-28,52,50,80,28
2025-03-29,41,49,67,22
2025-03-30,46,30,65,21
2025-03-31,36,54,73,20
