Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12
Data,4,record,timestamp,1096705541,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,97,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705542,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,97,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705543,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,98,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705544,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,99,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705545,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,100,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705546,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,101,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705547,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,102,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705548,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705549,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705550,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705551,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705552,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705553,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705554,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705555,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705556,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705557,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,85,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705558,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,85,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705559,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,87,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705560,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,94,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705561,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,116,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705562,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,115,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705563,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,112,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705564,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,112,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705565,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,114,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705566,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,113,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705567,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,111,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705568,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,107,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705569,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,105,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705570,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,103,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705571,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,100,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705572,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,98,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705573,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,110,bpm,cadence,98,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705574,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,110,bpm,cadence,96,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705575,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,111,bpm,cadence,95,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705576,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,110,bpm,cadence,93,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705577,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,110,bpm,cadence,92,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705578,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,93,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705579,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,108,bpm,cadence,91,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705580,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,88,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705581,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705582,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,108,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705583,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,108,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705584,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705585,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705586,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705587,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705588,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705589,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,87,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705590,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,109,bpm,cadence,87,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705591,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,108,bpm,cadence,87,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705592,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,86,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705593,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,85,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705594,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705595,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705596,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705597,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,85,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705598,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705599,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705600,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705601,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705602,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705603,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705604,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705605,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,84,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705606,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705607,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705608,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,83,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705609,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705610,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705611,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705612,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705613,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,108,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705614,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705615,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705616,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,82,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705617,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,107,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705618,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,106,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705619,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,105,bpm,cadence,80,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705620,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,79,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705621,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,104,bpm,cadence,79,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705622,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,79,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705623,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,79,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705624,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,79,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705625,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,80,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705626,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,80,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705627,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,80,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705628,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,80,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705629,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705630,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,103,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
Data,4,record,timestamp,1096705631,s,altitude,0.0,m,speed,0.0,m/s,heart_rate,102,bpm,cadence,81,rpm,temperature,22,C,power,60,watts,enhanced_altitude,0.0,m,enhanced_speed,0.0,m/s,,,,,,,,,
